SN HARMONISE,NATURE,PAYS,CODE CHARGEUR,OBSERVATIONS,agg_SN HARMONISE_mean,agg_SN HARMONISE_sum,agg_NATURE_mean,agg_NATURE_sum,agg_PAYS_mean,agg_PAYS_sum
0,0,1,1321,0,0.0,0,0.0,0,1.0,1
1,0,1,959,0,1.0,1,0.0,0,1.0,1
2,0,1,1988,0,2.0,2,0.0,0,1.0,1
3,0,1,1781,0,3.0,3,0.0,0,1.0,1
4,0,0,267,0,4.0,4,0.0,0,0.0,0
5,0,1,414,0,5.0,10,0.0,0,1.0,2
5,0,1,1552,0,5.0,10,0.0,0,1.0,2
6,0,1,744,0,6.0,6,0.0,0,1.0,1
7,0,1,24,0,7.0,7,0.0,0,1.0,1
8,1,1,1994,0,8.0,8,1.0,1,1.0,1
9,1,1,2077,0,9.0,9,1.0,1,1.0,1
10,0,1,8,0,10.0,10,0.0,0,1.0,1
11,0,1,1632,0,11.0,11,0.0,0,1.0,1
12,0,1,1694,0,12.0,12,0.0,0,1.0,1
13,0,1,294,0,13.0,13,0.0,0,1.0,1
14,0,1,1894,0,14.0,14,0.0,0,1.0,1
15,0,1,247,0,15.0,15,0.0,0,1.0,1
16,0,1,1566,0,16.0,16,0.0,0,1.0,1
17,0,1,1923,0,17.0,17,0.0,0,1.0,1
18,0,1,1933,0,18.0,18,0.0,0,1.0,1
19,0,1,1989,0,19.0,19,0.0,0,1.0,1
20,0,0,344,0,20.0,20,0.0,0,0.0,0
21,0,1,523,0,21.0,21,0.0,0,1.0,1
22,0,1,1274,0,22.0,22,0.0,0,1.0,1
23,0,2,19,0,23.0,23,0.0,0,2.0,2
24,0,1,215,0,24.0,24,0.0,0,1.0,1
25,1,1,2065,0,25.0,25,1.0,1,1.0,1
26,1,1,438,0,26.0,26,1.0,1,1.0,1
27,1,1,2063,0,27.0,27,1.0,1,1.0,1
28,1,1,424,0,28.0,28,1.0,1,1.0,1
29,1,1,861,0,29.0,29,1.0,1,1.0,1
30,1,1,1384,0,30.0,30,1.0,1,1.0,1
31,1,1,342,0,31.0,31,1.0,1,1.0,1
32,1,1,1130,0,32.0,32,1.0,1,1.0,1
33,1,1,1695,0,33.0,33,1.0,1,1.0,1
34,0,1,474,0,34.0,34,0.0,0,1.0,1
35,0,1,199,0,35.0,35,0.0,0,1.0,1
36,0,1,1898,0,36.0,36,0.0,0,1.0,1
37,1,1,2089,0,37.0,37,1.0,1,1.0,1
38,0,1,1359,0,38.0,38,0.0,0,1.0,1
39,0,1,792,0,39.0,39,0.0,0,1.0,1
40,0,1,1049,0,40.0,40,0.0,0,1.0,1
41,0,1,1023,0,41.0,41,0.0,0,1.0,1
42,0,1,146,0,42.0,42,0.0,0,1.0,1
43,0,1,369,0,43.0,43,0.0,0,1.0,1
44,0,1,977,0,44.0,44,0.0,0,1.0,1
45,0,1,175,0,45.0,45,0.0,0,1.0,1
46,0,1,865,0,46.0,46,0.0,0,1.0,1
47,0,1,1258,0,47.0,47,0.0,0,1.0,1
48,0,1,1985,0,48.0,48,0.0,0,1.0,1
49,0,1,1698,0,49.0,49,0.0,0,1.0,1
50,0,1,132,0,50.0,50,0.0,0,1.0,1
51,0,1,461,0,51.0,51,0.0,0,1.0,1
52,0,1,591,0,52.0,52,0.0,0,1.0,1
53,0,1,1221,0,53.0,53,0.0,0,1.0,1
54,0,0,405,0,54.0,54,0.0,0,0.0,0
55,0,1,954,0,55.0,55,0.0,0,1.0,1
56,0,1,828,0,56.0,56,0.0,0,1.0,1
57,1,1,2012,0,57.0,57,1.0,1,1.0,1
58,0,1,1015,0,58.0,58,0.0,0,1.0,1
59,0,0,40,0,59.0,59,0.0,0,0.0,0
60,0,0,388,0,60.0,60,0.0,0,0.0,0
61,0,1,779,0,61.0,61,0.0,0,1.0,1
62,0,1,65,0,62.0,62,0.0,0,1.0,1
63,0,1,1600,0,63.0,63,0.0,0,1.0,1
64,0,2,216,0,64.0,64,0.0,0,2.0,2
65,1,1,541,0,65.0,65,1.0,1,1.0,1
66,1,1,1816,0,66.0,66,1.0,1,1.0,1
67,0,1,695,0,67.0,67,0.0,0,1.0,1
68,0,1,540,0,68.0,68,0.0,0,1.0,1
69,0,1,2032,0,69.0,69,0.0,0,1.0,1
70,0,1,465,0,70.0,70,0.0,0,1.0,1
71,1,1,533,0,71.0,71,1.0,1,1.0,1
72,1,1,2067,0,72.0,72,1.0,1,1.0,1
73,0,0,301,0,73.0,73,0.0,0,0.0,0
74,0,1,1681,0,74.0,74,0.0,0,1.0,1
75,0,1,886,0,75.0,75,0.0,0,1.0,1
76,0,1,336,0,76.0,76,0.0,0,1.0,1
77,0,1,1663,0,77.0,77,0.0,0,1.0,1
78,0,1,987,0,78.0,78,0.0,0,1.0,1
79,0,1,686,0,79.0,79,0.0,0,1.0,1
80,0,1,326,0,80.0,80,0.0,0,1.0,1
81,1,1,2084,0,81.0,81,1.0,1,1.0,1
82,1,1,1358,0,82.0,82,1.0,1,1.0,1
83,1,1,2048,0,83.0,83,1.0,1,1.0,1
84,1,1,848,0,84.0,84,1.0,1,1.0,1
85,1,1,1902,0,85.0,85,1.0,1,1.0,1
86,1,1,914,0,86.0,86,1.0,1,1.0,1
87,1,1,2111,0,87.0,87,1.0,1,1.0,1
88,1,1,1590,0,88.0,88,1.0,1,1.0,1
89,1,1,2055,0,89.0,89,1.0,1,1.0,1
90,1,1,1029,0,90.0,90,1.0,1,1.0,1
91,0,1,1607,0,91.0,91,0.0,0,1.0,1
92,0,1,1014,0,92.0,92,0.0,0,1.0,1
93,1,1,1259,0,93.0,93,1.0,1,1.0,1
94,1,1,888,0,94.0,94,1.0,1,1.0,1
95,1,1,2105,0,95.0,95,1.0,1,1.0,1
96,1,1,2021,0,96.0,96,1.0,1,1.0,1
97,0,2,15,0,97.0,97,0.0,0,2.0,2
98,0,1,754,0,98.0,98,0.0,0,1.0,1
99,1,1,2137,0,99.0,99,1.0,1,1.0,1
100,0,1,1766,0,100.0,100,0.0,0,1.0,1
101,1,1,1609,0,101.0,101,1.0,1,1.0,1
102,1,1,2136,0,102.0,102,1.0,1,1.0,1
103,1,1,908,0,103.0,103,1.0,1,1.0,1
104,1,1,2135,0,104.0,104,1.0,1,1.0,1
105,0,1,71,0,105.0,105,0.0,0,1.0,1
106,1,1,1597,0,106.0,106,1.0,1,1.0,1
107,0,1,652,0,107.0,107,0.0,0,1.0,1
108,0,1,1998,0,108.0,108,0.0,0,1.0,1
109,0,1,1539,0,109.0,109,0.0,0,1.0,1
110,0,1,1184,0,110.0,110,0.0,0,1.0,1
111,0,1,1412,0,111.0,111,0.0,0,1.0,1
112,0,1,330,0,112.0,112,0.0,0,1.0,1
113,0,1,109,0,113.0,113,0.0,0,1.0,1
114,0,1,1323,0,114.0,114,0.0,0,1.0,1
115,0,0,10,0,115.0,115,0.0,0,0.0,0
116,0,1,887,0,116.0,116,0.0,0,1.0,1
117,0,1,512,0,117.0,117,0.0,0,1.0,1
118,0,0,380,0,118.0,118,0.0,0,0.0,0
119,0,1,915,0,119.0,119,0.0,0,1.0,1
120,0,1,1807,0,120.0,120,0.0,0,1.0,1
121,0,0,235,0,121.0,121,0.0,0,0.0,0
122,0,0,37,0,122.0,122,0.0,0,0.0,0
123,0,1,1978,0,123.0,123,0.0,0,1.0,1
124,0,1,1602,0,124.0,124,0.0,0,1.0,1
125,0,1,1732,0,125.0,125,0.0,0,1.0,1
126,0,1,1231,0,126.0,126,0.0,0,1.0,1
127,0,1,2001,0,127.0,127,0.0,0,1.0,1
128,0,1,1973,0,128.0,128,0.0,0,1.0,1
129,0,1,1972,0,129.0,129,0.0,0,1.0,1
130,1,1,537,0,130.0,130,1.0,1,1.0,1
131,1,1,2127,0,131.0,131,1.0,1,1.0,1
132,1,1,2076,0,132.0,132,1.0,1,1.0,1
133,0,1,1645,0,133.0,133,0.0,0,1.0,1
134,0,1,212,0,134.0,134,0.0,0,1.0,1
135,0,1,434,0,135.0,135,0.0,0,1.0,1
136,0,1,895,0,136.0,136,0.0,0,1.0,1
137,1,1,2124,0,137.0,137,1.0,1,1.0,1
138,1,1,2074,0,138.0,138,1.0,1,1.0,1
139,0,1,201,0,139.0,139,0.0,0,1.0,1
140,1,1,2096,0,140.0,140,1.0,1,1.0,1
141,0,1,1396,0,141.0,141,0.0,0,1.0,1
142,1,1,2117,0,142.0,142,1.0,1,1.0,1
143,1,1,2066,0,143.0,143,1.0,1,1.0,1
144,0,1,1917,0,144.0,144,0.0,0,1.0,1
145,1,1,1437,0,145.0,145,1.0,1,1.0,1
146,1,1,2069,0,146.0,146,1.0,1,1.0,1
147,0,1,632,0,147.0,147,0.0,0,1.0,1
148,1,1,1734,0,148.0,148,1.0,1,1.0,1
149,1,1,1803,0,149.0,149,1.0,1,1.0,1
150,0,1,1915,0,150.0,150,0.0,0,1.0,1
151,0,1,862,0,151.0,151,0.0,0,1.0,1
152,1,0,21,0,152.0,152,1.0,1,0.0,0
153,1,0,45,0,153.0,153,1.0,1,0.0,0
154,0,0,165,0,154.0,154,0.0,0,0.0,0
155,0,1,1618,0,155.0,155,0.0,0,1.0,1
156,0,1,1830,0,156.0,156,0.0,0,1.0,1
157,0,1,1424,0,157.0,157,0.0,0,1.0,1
158,0,1,863,0,158.0,158,0.0,0,1.0,1
159,0,1,1910,0,159.0,159,0.0,0,1.0,1
160,0,1,1861,0,160.0,160,0.0,0,1.0,1
161,1,1,257,0,161.0,161,1.0,1,1.0,1
162,0,1,846,0,162.0,162,0.0,0,1.0,1
163,0,1,1907,0,163.0,163,0.0,0,1.0,1
164,0,1,367,0,164.0,164,0.0,0,1.0,1
165,0,1,1905,0,165.0,165,0.0,0,1.0,1
166,0,1,1979,0,166.0,166,0.0,0,1.0,1
167,0,1,168,0,167.0,167,0.0,0,1.0,1
168,1,1,2053,0,168.0,168,1.0,1,1.0,1
169,1,1,2045,0,169.0,169,1.0,1,1.0,1
170,0,1,493,0,170.0,170,0.0,0,1.0,1
171,0,1,1010,0,171.0,171,0.0,0,1.0,1
172,0,1,2033,0,172.0,172,0.0,0,1.0,1
173,0,0,371,0,173.0,173,0.0,0,0.0,0
174,0,2,79,0,174.0,174,0.0,0,2.0,2
175,0,2,26,0,175.0,175,0.0,0,2.0,2
176,1,1,2104,0,176.0,176,1.0,1,1.0,1
177,1,1,1611,0,177.0,177,1.0,1,1.0,1
178,0,1,1299,0,178.0,178,0.0,0,1.0,1
179,0,1,1873,0,179.0,179,0.0,0,1.0,1
180,0,1,2038,0,180.0,180,0.0,0,1.0,1
181,1,1,1533,0,181.0,181,1.0,1,1.0,1
182,0,1,1869,0,182.0,182,0.0,0,1.0,1
183,1,2,87,0,183.0,183,1.0,1,2.0,2
184,0,1,281,0,184.0,368,0.0,0,1.0,2
184,0,1,655,0,184.0,368,0.0,0,1.0,2
185,0,1,1867,0,185.0,185,0.0,0,1.0,1
186,0,1,902,0,186.0,186,0.0,0,1.0,1
187,1,1,1820,0,187.0,187,1.0,1,1.0,1
188,0,1,1950,0,188.0,188,0.0,0,1.0,1
189,0,1,1610,0,189.0,189,0.0,0,1.0,1
190,0,1,1313,0,190.0,190,0.0,0,1.0,1
